"x","y","z"
"-46.8783","-12.9445","0.52"
"-48.1963","-12.8329","0.412"
"-49.5087","-12.5695","0.303"
"-51.0029","-12.4695","-0.049"
"-52.3053","-12.2045","-0.173"
"-53.4313","-11.7017","-0.005"
"-54.9859","-11.7817","-0.031"
"-56.2208","-11.2665","-0.066"
"-57.5362","-10.9307","0.097"
"-59.1697","-11.1345","-0.051"
"-60.4318","-10.6463","-0.007"
"-61.9065","-10.482","0.131"
"-63.3142","-10.1658","-0.198"
"-64.7991","-10.2256","0.241"
"-66.3565","-10.185","0.307"
"-67.8153","-9.85808","0.199"
"-69.3412","-9.72573","0.143"
"-70.875","-9.5153","0.124"
"-72.4047","-9.29757","0.185"
"-73.9297","-9.0429","0.269"
"-75.4584","-8.78998","0.3"
"-77.0374","-8.62646","0.316"
"-78.5801","-8.28787","0.262"
"-80.1851","-8.19775","0.499"
"-81.7825","-8.15049","0.73"
"-83.3614","-7.85165","0.676"
"-84.7517","-6.661","0.553"
"-86.3289","-6.47529","0.639"
"-87.969","-6.475","0.772"
"-89.5003","-6.17936","0.909"
"-91.0535","-5.76818","0.738"
"-92.631","-5.64177","0.858"
"-94.1739","-5.31059","0.867"
"-95.8032","-5.10485","0.859"
"-97.4194","-4.92173","0.921"
"-98.983","-4.65854","1.093"
"-100.623","-4.37465","1.047"
"-102.212","-3.99211","1.053"
"-103.802","-3.6466","1.083"
"-105.442","-3.34786","1.141"
"-107.027","-3.03402","1.176"
"-108.617","-2.5699","1.239"
"-110.233","-2.21253","1.239"
"-111.904","-1.73124","1.049"
"-113.539","-1.37334","1.163"
"-115.189","-0.994629","1.203"
"-116.872","-0.781793","1.449"
"-118.542","-0.385808","1.427"
"-120.215","-0.0101609","1.443"
"-121.899","0.338026","1.558"
"-123.584","0.712179","1.607"
"-125.272","0.978908","1.81"
"-126.942","1.36563","1.837"
"-128.641","1.74759","1.876"
"-130.331","2.09966","1.945"
"-132.013","2.47745","1.942"
"-133.722","2.76887","1.938"
"-135.416","3.13401","2.019"
"-137.088","3.49855","2.06"
"-138.744","3.86633","2.108"
"-140.389","4.19856","2.224"
"-142.018","4.5693","2.245"
"-143.673","4.93519","2.278"
"-145.286","5.28135","2.252"
"-146.889","5.66801","2.291"
"-148.493","5.99725","2.439"
"-150.093","6.36899","2.279"
"-151.635","6.67236","2.439"
"-153.206","7.0192","2.394"
"-154.733","7.34253","2.562"
"-156.287","7.64993","2.551"
"-157.771","8.00542","2.59"
"-159.297","8.30463","2.651"
"-160.789","8.65478","2.808"
"-162.267","9.01379","2.791"
"-163.756","9.32305","2.875"
"-165.241","9.61553","2.897"
"-166.667","10.0194","3.031"
"-168.145","10.3784","3.003"
"-169.612","10.7001","3.132"
"-171.069","11.1326","3.233"
"-172.626","11.4346","3.198"
"-174.12","11.8237","3.214"
"-175.565","12.3876","3.265"
"-177.104","12.6612","3.322"
"-178.566","13.1217","3.42"
"-180.083","13.5726","3.415"
"-181.472","14.1645","3.43"
"-182.936","14.5676","3.47"
"-184.453","15.0501","3.588"
"-185.856","15.6684","3.524"
"-187.279","16.1074","3.55"
"-188.709","16.6949","3.573"
"-190.108","17.2092","3.708"
"-191.493","17.814","3.651"
"-192.909","18.2732","3.705"
"-194.321","18.6971","3.863"
"-195.58","19.4243","3.73"
"-196.947","19.8506","3.805"
"-198.227","20.4413","3.898"
"-199.478","20.9329","3.898"
"-200.764","21.4032","4.039"
"-201.914","21.9976","4.072"
"-203.015","22.3626","3.975"
"-204.153","22.8583","4.139"
"-205.146","23.3148","4.144"
"-206.104","23.6887","4.121"
"-207.024","24.0726","4.17"
"-207.776","24.5037","4.281"
"-208.574","24.7414","4.254"
"-209.397","25.1115","4.274"
"-210.106","25.6228","4.368"
"-210.779","25.9571","4.443"
"-211.562","26.161","4.383"
"-212.312","26.5883","4.362"
"-212.988","27.0005","4.445"
"-213.819","27.1039","4.342"
"-214.549","27.601","4.182"
"-215.432","27.9895","4.323"
"-216.324","28.38","4.347"
"-217.231","28.8248","4.339"
"-218.132","29.4491","4.448"
"-219.101","29.9809","4.514"
"-220.106","30.6064","4.502"
"-221.189","31.0654","4.501"
"-222.284","31.6767","4.469"
"-223.456","32.1902","4.439"
"-224.629","32.7945","4.37"
"-225.804","33.4026","4.465"
"-227.038","33.9956","4.397"
"-228.291","34.6467","4.443"
"-229.571","35.2985","4.477"
"-230.859","35.8968","4.516"
"-232.174","36.5534","4.491"
"-233.52","37.2256","4.512"
"-234.896","37.9302","4.5"
"-236.288","38.6613","4.511"
"-237.689","39.4333","4.547"
"-239.104","40.1965","4.506"
"-240.559","40.9849","4.486"
"-242.038","41.711","4.507"
"-243.5","42.4422","4.455"
"-244.916","43.4241","4.528"
"-246.411","44.2248","4.535"
"-247.845","45.1387","4.522"
"-249.111","46.3184","4.497"
"-250.574","47.057","4.543"
"-251.959","47.7953","4.747"
"-253.348","48.6727","4.692"
"-254.753","49.3967","4.673"
"-256.151","49.9258","4.937"
"-257.635","50.9208","4.439"
"-259.004","51.9793","4.5"
"-260.426","52.7946","4.46"
"-261.715","53.7062","4.454"
"-263.127","54.6899","4.458"
"-264.484","55.5627","4.574"
"-265.582","56.9137","4.36"
"-266.88","57.8311","4.302"
"-268.629","58.9375","4.202"
"-269.441","59.3944","4.232"
"-271.62","60.9467","4.288"
"-273.041","61.9826","4.254"
"-274.434","62.8174","4.663"
"-275.127","63.3024","4.605"
"-276.524","64.2171","4.623"
"-278.465","65.7757","4.656"
"-279.826","66.8173","4.666"
"-281.036","67.8972","4.687"
"-282.311","69.0086","4.644"
"-283.536","70.1668","4.663"
"-284.577","71.3939","4.719"
"-285.847","72.5719","4.74"
"-287.539","73.5858","4.64"
"-287.469","73.5504","4.793"
"-289.808","75.9322","4.741"
"-290.777","77.6522","3.354"
"-291.974","78.8225","3.312"
"-293.118","80.0933","3.353"
"-294.102","81.3577","3.358"
"-295.23","82.541","3.35"
"-296.262","83.9235","3.392"
"-297.385","85.2697","3.4"
"-298.364","86.5043","3.395"
"-299.392","87.8756","3.416"
"-300.424","89.1896","3.393"
"-301.488","90.4952","3.373"
"-302.515","91.8461","3.396"
"-303.521","93.2094","3.415"
"-304.555","94.5215","3.413"
"-305.589","95.8318","3.492"
"-306.369","97.1535","4.685"
"-307.312","98.5353","4.492"
"-308.339","99.8176","4.554"
"-309.39","101.14","4.776"
"-310.43","102.411","4.754"
"-311.507","103.665","4.799"
"-312.369","104.563","5.513"
"-313.5","105.702","5.559"
"-314.633","106.887","5.55"
"-315.837","107.9","5.522"
"-317.039","108.818","5.6"
"-318.268","109.813","5.581"
"-319.503","110.692","5.6"
"-320.768","111.555","5.605"
"-322.049","112.349","5.657"
"-323.424","113.199","5.837"
"-324.733","113.929","5.876"
"-326.11","114.497","5.901"
"-327.434","115.128","5.937"
"-328.764","115.785","5.919"
"-330.115","116.344","6.078"
"-331.4","117.029","6.081"
"-332.727","117.562","6.12"
"-333.957","118.29","6.086"
"-335.244","118.857","6.114"
"-336.464","119.544","6.107"
"-337.707","120.175","6.12"
"-338.876","121.044","6.172"
"-340.087","121.67","6.196"
"-341.139","122.632","6.194"
"-342.242","123.449","6.281"
"-343.29","124.269","6.29"
"-344.29","125.206","6.323"
"-345.193","126.147","6.332"
"-346.023","127.127","6.355"
"-346.778","128.27","6.503"
"-347.521","129.17","6.583"
"-348.104","130.236","6.566"
"-348.648","131.247","6.6"
"-349.024","132.321","6.625"
"-349.282","133.359","6.745"
"-349.414","134.403","6.733"
"-349.414","135.391","6.768"
"-349.36","136.353","6.748"
"-349.146","137.302","6.786"
"-348.86","138.202","6.872"
"-348.476","139.031","6.867"
"-348.033","139.849","6.82"
"-347.487","140.606","6.877"
"-346.855","141.318","6.841"
"-346.167","141.983","6.828"
"-345.339","142.632","6.833"
"-344.383","143.215","6.777"
"-343.353","143.753","6.754"
"-342.227","144.266","6.725"
"-341.041","144.736","6.725"
"-339.783","145.193","6.652"
"-338.511","145.656","6.666"
"-337.167","146.107","6.597"
"-335.807","146.607","6.612"
"-334.412","147.103","6.555"
"-332.978","147.645","6.535"
"-331.497","148.142","6.495"
"-330.039","148.768","6.426"
"-328.512","149.393","6.374"
"-326.957","150.022","6.196"
"-325.352","150.727","6.124"
"-323.732","151.474","6.047"
"-322.056","152.233","5.987"
"-320.352","153.037","5.891"
"-318.629","153.867","5.763"
"-316.866","154.695","5.584"
"-315.08","155.552","5.477"
"-313.306","156.414","5.33"
"-311.492","157.271","5.22"
"-309.684","158.172","5.079"
"-307.835","159.039","4.918"
"-306.006","159.934","4.78"
"-304.143","160.854","4.662"
"-302.275","161.768","4.569"
"-300.419","162.73","4.401"
"-298.533","163.714","4.103"
"-296.65","164.657","3.944"
"-294.768","165.599","3.768"
"-292.879","166.563","3.612"
"-290.988","167.525","3.332"
"-289.076","168.475","3.169"
"-287.166","169.405","2.991"
"-285.236","170.324","2.818"
"-283.317","171.237","2.67"
"-281.393","172.183","2.449"
"-279.488","173.083","2.224"
"-277.577","173.998","2.051"
"-275.672","174.891","1.865"
"-273.766","175.792","1.704"
"-271.886","176.696","1.501"
"-270.034","177.604","1.273"
"-268.193","178.504","1.111"
"-266.361","179.385","0.969"
"-264.574","180.283","0.792"
"-262.801","181.17","0.602"
"-261.077","182.057","0.347"
"-259.334","182.944","0.191"
"-257.617","183.785","0.037"
"-255.924","184.635","-0.154"
"-254.303","185.47","-0.551"
"-252.641","186.299","-0.678"
"-251.017","187.158","-0.836"
"-249.42","188.013","-1.058"
"-247.821","188.868","-1.166"
"-246.279","189.807","-1.399"
"-244.696","190.685","-1.539"
"-243.127","191.556","-1.683"
"-241.577","192.481","-1.868"
"-239.99","193.365","-2.017"
"-238.45","194.255","-2.158"
"-236.867","195.159","-2.325"
"-235.294","196.11","-2.51"
"-233.719","197.046","-2.661"
"-232.147","198","-2.856"
"-230.594","198.996","-3.003"
"-229.029","199.978","-3.165"
"-227.495","201.015","-3.32"
"-225.947","202.048","-3.49"
"-224.405","203.078","-3.671"
"-222.863","204.127","-3.813"
"-221.314","205.17","-3.993"
"-219.762","206.221","-4.151"
"-218.22","207.276","-4.336"
"-216.673","208.33","-4.512"
"-215.114","209.388","-4.638"
"-213.596","210.383","-4.834"
"-212.037","211.44","-4.981"
"-210.478","212.502","-5.153"
"-208.905","213.549","-5.334"
"-207.319","214.592","-5.507"
"-205.734","215.629","-5.68"
"-204.151","216.265","-5.943"
"-202.559","217.313","-6.116"
"-200.965","218.378","-6.314"
"-199.38","219.449","-6.501"
"-197.796","220.52","-6.719"
"-196.188","221.621","-6.894"
"-194.606","222.711","-7.108"
"-192.986","223.799","-7.331"
"-191.394","224.907","-7.538"
"-189.795","225.986","-7.756"
"-188.223","227.084","-7.953"
"-186.648","228.16","-8.141"
"-185.086","229.239","-8.358"
"-183.532","230.289","-8.567"
"-181.995","231.333","-8.762"
"-180.458","232.375","-8.992"
"-178.927","233.413","-9.172"
"-177.399","234.437","-9.409"
"-175.884","235.439","-9.616"
"-174.375","236.432","-9.833"
"-172.895","237.44","-10.066"
"-171.404","238.437","-10.268"
"-169.926","239.416","-10.463"
"-168.518","240.411","-10.74"
"-167.09","241.343","-10.886"
"-165.706","242.27","-11.102"
"-164.355","243.182","-11.301"
"-163.022","244.089","-11.499"
"-161.727","244.981","-11.717"
"-160.454","245.827","-11.879"
"-159.225","246.671","-12.062"
"-158.019","247.482","-12.257"
"-156.788","248.283","-12.435"
"-155.535","249.093","-12.63"
"-154.24","249.91","-12.812"
"-152.936","250.745","-13.012"
"-151.618","251.606","-13.193"
"-150.291","252.493","-13.409"
"-148.94","253.402","-13.587"
"-147.58","254.338","-13.777"
"-146.209","255.336","-13.981"
"-144.823","256.334","-14.184"
"-143.419","257.334","-14.419"
"-141.997","258.378","-14.641"
"-140.516","259.396","-14.824"
"-139.037","260.444","-15.077"
"-137.509","261.467","-15.251"
"-135.963","262.496","-15.5"
"-134.382","263.522","-15.709"
"-132.782","264.557","-15.968"
"-131.145","265.586","-16.203"
"-129.482","266.608","-16.428"
"-127.808","267.639","-16.65"
"-126.135","268.663","-16.905"
"-124.481","269.684","-17.139"
"-122.816","270.686","-17.352"
"-121.16","271.684","-17.586"
"-119.505","272.651","-17.797"
"-117.876","273.63","-18.056"
"-116.241","274.625","-18.265"
"-114.627","275.608","-18.482"
"-113.006","276.598","-18.73"
"-111.386","277.594","-18.954"
"-109.759","278.593","-19.17"
"-108.161","279.639","-19.397"
"-106.551","280.687","-19.655"
"-104.93","281.725","-19.86"
"-103.298","282.799","-20.173"
"-101.684","283.878","-20.385"
"-100.049","284.944","-20.601"
"-98.4294","286.043","-20.869"
"-96.7822","287.133","-21.098"
"-95.1459","288.233","-21.365"
"-93.5172","289.335","-21.558"
"-91.8772","290.433","-21.801"
"-90.2368","291.549","-22.05"
"-88.5969","292.648","-22.28"
"-86.968","293.753","-22.513"
"-85.3181","294.807","-22.769"
"-83.7084","295.901","-23.013"
"-82.0809","296.958","-23.162"
"-80.4733","298.024","-23.394"
"-78.864","299.063","-23.589"
"-77.255","300.042","-23.797"
"-75.6442","301.046","-23.962"
"-74.0405","302.016","-24.13"
"-72.4343","302.943","-24.305"
"-70.8107","303.824","-24.427"
"-69.2028","304.722","-24.595"
"-67.5751","305.565","-24.804"
"-65.9217","306.388","-24.903"
"-64.2443","307.17","-25.087"
"-62.5746","307.948","-25.257"
"-60.8992","308.703","-25.44"
"-59.1923","309.416","-25.584"
"-57.4682","310.118","-25.705"
"-55.7776","310.793","-25.895"
"-54.0701","311.441","-26.055"
"-52.351","312.056","-26.191"
"-50.6444","312.628","-26.372"
"-48.9167","313.191","-26.434"
"-47.2161","313.728","-26.549"
"-45.5227","314.234","-26.694"
"-43.8267","314.698","-26.777"
"-42.1505","315.173","-26.889"
"-40.4683","315.596","-27.016"
"-38.815","316.016","-27.143"
"-37.1365","316.348","-27.234"
"-35.486","316.67","-27.39"
"-33.8499","316.928","-27.506"
"-32.2169","317.12","-27.623"
"-30.5981","317.299","-27.763"
"-28.9783","317.381","-27.812"
"-27.3834","317.382","-27.947"
"-25.8046","317.346","-28.005"
"-24.2519","317.231","-28.096"
"-22.728","317.075","-28.202"
"-21.2449","316.853","-28.334"
"-19.7703","316.511","-28.406"
"-18.3006","316.126","-28.467"
"-16.8797","315.661","-28.577"
"-15.466","315.119","-28.723"
"-14.0906","314.511","-28.859"
"-12.742","313.799","-29.045"
"-11.426","313.043","-29.141"
"-10.1427","312.198","-29.26"
"-8.8805","311.319","-29.358"
"-7.70242","310.351","-29.577"
"-6.54772","309.312","-29.755"
"-5.39769","308.197","-29.808"
"-4.35429","306.997","-29.994"
"-3.3354","305.819","-30.229"
"-2.37492","304.574","-30.447"
"-1.37963","303.272","-30.538"
"-0.434588","301.97","-30.733"
"0.501505","300.618","-30.906"
"1.40664","299.237","-31.068"
"2.32025","297.845","-31.262"
"3.24368","296.445","-31.413"
"4.1873","295.049","-31.61"
"5.1718","293.677","-31.763"
"6.16232","292.296","-31.914"
"7.21266","290.942","-32.052"
"8.28773","289.62","-32.195"
"9.44056","288.338","-32.268"
"10.6256","287.127","-32.426"
"11.8462","285.976","-32.647"
"13.1453","284.847","-32.72"
"14.447","283.811","-32.987"
"15.8132","282.835","-33.161"
"17.2327","281.923","-33.243"
"18.6726","281.063","-33.473"
"20.1757","280.306","-33.554"
"21.7304","279.558","-33.568"
"23.3009","279.005","-33.685"
"24.8913","278.452","-33.957"
"26.542","277.983","-34.021"
"28.1996","277.672","-34.197"
"29.8533","277.442","-34.441"
"31.5844","277.332","-34.455"
"33.2558","277.24","-34.717"
"34.9729","277.254","-34.792"
"36.6846","277.341","-34.915"
"38.3772","277.465","-35.069"
"40.0775","277.641","-35.222"
"41.7864","277.941","-35.288"
"43.4923","278.22","-35.415"
"45.2084","278.555","-35.524"
"46.9468","278.966","-35.593"
"48.6899","279.318","-35.688"
"50.4553","279.663","-35.785"
"52.2273","280.017","-35.915"
"54.0434","280.377","-36.005"
"55.8572","280.789","-36.127"
"57.6838","281.076","-36.279"
"59.5324","281.476","-36.409"
"61.4221","281.908","-36.465"
"63.2851","282.281","-36.64"
"65.1908","282.746","-36.701"
"67.0703","283.126","-36.839"
"68.9617","283.53","-36.939"
"70.8353","283.924","-37.125"
"72.736","284.344","-37.232"
"74.6097","284.699","-37.446"
"76.5324","285.1","-37.507"
"78.437","285.482","-37.642"
"80.3384","285.836","-37.779"
"82.2496","286.186","-37.886"
"84.1609","286.495","-37.987"
"86.0702","286.817","-38.113"
"88.016","287.145","-38.11"
"89.9238","287.421","-38.208"
"91.8483","287.705","-38.331"
"93.7572","287.972","-38.466"
"95.6974","288.193","-38.526"
"97.6224","288.363","-38.631"
"99.5478","288.503","-38.76"
"101.455","288.565","-38.877"
"103.393","288.59","-38.93"
"105.326","288.566","-39.04"
"107.252","288.482","-39.09"
"109.173","288.352","-39.191"
"111.104","288.195","-39.268"
"113.021","288.003","-39.339"
"114.919","287.751","-39.418"
"116.835","287.502","-39.529"
"118.738","287.216","-39.619"
"120.639","286.914","-39.696"
"122.547","286.617","-39.813"
"124.43","286.289","-39.911"
"126.308","285.95","-40.005"
"128.182","285.567","-40.099"
"130.041","285.205","-40.203"
"131.894","284.798","-40.275"
"133.751","284.397","-40.348"
"135.605","283.984","-40.449"
"137.445","283.548","-40.564"
"139.279","283.122","-40.689"
"141.12","282.682","-40.814"
"142.969","282.263","-40.92"
"144.822","281.843","-41.034"
"146.666","281.427","-41.14"
"148.513","281.021","-41.257"
"150.361","280.627","-41.392"
"152.221","280.215","-41.506"
"154.065","279.809","-41.638"
"155.927","279.409","-41.748"
"157.787","279.008","-41.825"
"159.654","278.599","-41.922"
"161.498","278.18","-42.036"
"163.351","277.775","-42.167"
"165.22","277.364","-42.23"
"167.096","276.968","-42.336"
"168.969","276.553","-42.394"
"170.832","276.142","-42.491"
"172.683","275.728","-42.571"
"174.555","275.321","-42.628"
"176.414","274.913","-42.711"
"178.26","274.499","-42.761"
"180.104","274.094","-42.858"
"181.954","273.678","-42.914"
"183.793","273.267","-42.978"
"185.605","272.863","-43.032"
"187.438","272.436","-43.084"
"189.254","272.042","-43.171"
"191.069","271.631","-43.188"
"192.858","271.235","-43.255"
"194.682","270.844","-43.29"
"196.469","270.432","-43.347"
"198.239","270.054","-43.438"
"200.039","269.649","-43.436"
"201.808","269.263","-43.52"
"203.575","268.872","-43.572"
"205.341","268.48","-43.663"
"207.102","268.101","-43.683"
"208.844","267.706","-43.766"
"210.583","267.327","-43.83"
"212.323","266.935","-43.811"
"214.049","266.535","-43.876"
"215.773","266.147","-43.959"
"217.477","265.763","-43.994"
"219.181","265.378","-44.03"
"220.88","264.964","-44.051"
"222.564","264.596","-44.132"
"224.245","264.203","-44.145"
